Reported Subsectors,CO2,Methane (CH4),Nitrous Oxide (N2O),HFC,PFC,SF6,NF3,Other Fully Fluorinated GHG,HFE,Very Short-lived Compounds,Non-Fluorinated Chemicals,Minerals,Electronics Manufacturing,year,state,Waste/Metals/Pulp and Paper/Miscellaneous Combustion,Power Plants/Petroleum and Natural Gas Systems
Solid Waste Combustion,1059785.1,24281.0,37988.444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,NY,1122054.544,0.0
Underground Natural Gas Storage,23561.5,3992.0,11.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,NY,0.0,27565.42
Universities,557598.4,321.25,533.122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013,NY,558452.772,0.0
"Aluminum Production, Industrial Landfills",312241.1,22472.5,49.766,0.0,160546.777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,NY,495310.143,0.0
Cement Production,1151301.0,3978.75,73320.814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1228600.564,0.0,2014,NY,0.0,0.0
"CO2 Capture, Ethanol Production",99824.6,47.25,56.322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,NY,99928.172,0.0
"CO2 Capture, Ethanol Production, Wastewater Treatment",76672.2,100.25,43.806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,NY,76816.256,0.0
"CO2 Capture, Food Processing",35098.0,27.5,45.594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,NY,35171.094,0.0
Electronics Manufacturing,104321.9,50.75,14496.21,898.2984,45412.539394,5964.48,11002.84,80579.0,271.35,7.8e-06,0.0,0.0,262997.3678018,2014,NY,0.0,0.0
Ferroalloy Production,201707.2,876.75,1.192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,NY,202585.142,0.0
Food Processing,306010.8,382.75,614.774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,NY,307008.324,0.0
Glass Production,353919.1,126.5,151.086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,354196.686,0.0,2014,NY,0.0,0.0
"Industrial Landfills, Other Manufacturing",126474.7,1263.25,70.924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,NY,127808.874,0.0
"Industrial Landfills, Pulp and Paper Manufacturing",244337.7,51627.0,1594.896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,NY,297559.596,0.0
Iron and Steel Production,145134.6,33.75,53.938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,NY,145222.288,0.0
Lead Production,83193.4,9.25,11.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,NY,83213.67599999999,0.0
Military,38367.9,18.75,24.138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,NY,38410.788,0.0
Municipal Landfills,6565.399999999999,2038996.5,679.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,NY,2046241.34,0.0
"Natural Gas Distribution, Natural Gas Local Distribution Companies",12753.2,1390853.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,NY,0.0,1403606.2
Natural Gas Transmission/Compression,528172.2,45514.5,296.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,NY,0.0,573983.2100000001
Other Chemicals,177463.7,85.75,106.684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177656.134,0.0,0.0,2014,NY,0.0,0.0
Other Combustion,848718.5,447.5,641.594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,NY,849807.5939999999,0.0
Other Manufacturing,196206.8,92.5,110.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,NY,196409.56,0.0
Other Metals,296855.3,142.25,173.734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,NY,297171.284,0.0
Other Minerals,229710.1,247.25,384.718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230342.068,0.0,2014,NY,0.0,0.0
Other Paper Producers,330060.9,155.25,185.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,NY,330401.208,0.0
Other Petroleum and Natural Gas Systems,24308.4,11.5,13.708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,NY,0.0,24333.608
Power Plants,32837322.9,35323.2,58703.914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,NY,0.0,32931350.01399999
Pulp and Paper Manufacturing,99583.5,520.25,2583.362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,NY,102687.112,0.0
Solid Waste Combustion,1087045.3,24302.5,38022.714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,NY,1149370.514,0.0
Underground Natural Gas Storage,19544.1,38269.5,11.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,NY,0.0,57824.626
Universities,558744.4,333.75,554.578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,NY,559632.728,0.0
"Aluminum Production, Industrial Landfills",291918.2,9245.75,44.7,0.0,20420.468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,NY,321629.118,0.0
Cement Production,1418874.9,1292.0,2220.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1422387.0,0.0,2015,NY,0.0,0.0
"CO2 Capture, Ethanol Production",113858.2,53.5,63.772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,NY,113975.472,0.0
"CO2 Capture, Ethanol Production, Wastewater Treatment",75704.0,87.25,43.508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,NY,75834.758,0.0
"CO2 Capture, Food Processing",36227.2,29.75,50.064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,NY,36307.014,0.0
Electronics Manufacturing,141092.9,72.0,19043.988,732.8058000000001,52334.446394,2970.84,7977.36,138689.0,364.9779,8.400000000000001e-06,0.0,0.0,363278.3181024001,2015,NY,0.0,0.0
Ferroalloy Production,207696.5,901.0,0.596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,NY,208598.096,0.0
Food Processing,310394.0,392.0,634.4420000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,NY,311420.442,0.0
Glass Production,354889.0,127.75,152.576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,355169.326,0.0,2015,NY,0.0,0.0
Hydrogen Production,25299.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25299.6,0.0,0.0,2015,NY,0.0,0.0
"Industrial Landfills, Other Manufacturing",125555.4,1192.75,70.626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,NY,126818.776,0.0
"Industrial Landfills, Pulp and Paper Manufacturing",231647.2,51418.5,1417.884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,NY,284483.58400000003,0.0
Iron and Steel Production,151363.7,34.75,58.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,NY,151456.56,0.0
Lead Production,75335.6,8.75,10.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,NY,75354.78,0.0
Military,54429.2,26.25,32.482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,NY,54487.932,0.0
Municipal Landfills,6543.8,1974120.25,637.422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,NY,1981301.472,0.0
"Natural Gas Distribution, Natural Gas Local Distribution Companies",14937.0,1339232.5,7.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,NY,0.0,1354176.95
Natural Gas Transmission/Compression,543020.8999999999,62898.25,305.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,NY,0.0,606224.6
Other Chemicals,176506.3,86.5,110.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176703.06,0.0,0.0,2015,NY,0.0,0.0
Other Combustion,864249.1,459.5,665.732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,NY,865374.332,0.0
Other Manufacturing,196962.6,93.75,113.538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,NY,197169.888,0.0
Other Metals,283309.4,134.0,161.218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,NY,283604.618,0.0
Other Minerals,260313.2,255.25,389.486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260957.936,0.0,2015,NY,0.0,0.0
Other Paper Producers,354422.0,166.75,198.766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,NY,354787.516,0.0
