year,iso_3166_2,total
2014,MT,22547098.045999996
2015,MT,23140346.95
2016,MT,21104020.948
2017,MT,20128820.828
2018,MT,19820534.944000002
2019,MT,20913586.71
2020,MT,14553741.572
2011,NC,71516772.08197504
2012,NC,66984243.045834996
2013,NC,65340957.690771
2014,NC,67279999.982611
2015,NC,62883381.73243598
2016,NC,62692754.29806599
2017,NC,58075244.721966006
2018,NC,59504830.625884
2019,NC,56739772.35509201
2020,NC,46300121.04995502
2011,ND,37144772.23624998
2012,ND,38428911.035633
2013,ND,36793248.195999995
2014,ND,36475123.46000001
2015,ND,39107197.93400001
2016,ND,38582922.938
2017,ND,38499302.29600002
2018,ND,40667494.662704155
2019,ND,37760689.16265111
2020,ND,35986782.16864888
2011,NE,33575473.42515
2012,NE,32273584.155169003
2013,NE,33955649.652
2014,NE,32361237.524000004
2015,NE,31341694.044
2016,NE,28929219.895999998
2017,NE,29237081.574
2018,NE,31622471.324000005
2019,NE,28911236.96799999
2020,NE,26875650.227999996
2011,NH,5708430.972000001
2012,NH,4811167.349287001
2013,NH,3936267.2500000005
2014,NH,3796329.158
2015,NH,4019258.842
2016,NH,2898783.538
2017,NH,2393887.7359999996
2018,NH,2723778.972
2019,NH,2437477.264
2020,NH,2176869.7920000004
2011,NJ,26524848.399
2012,NJ,25366329.206399
2013,NJ,24605147.788000003
2014,NJ,27118530.604000002
2015,NJ,28162697.68299999
2016,NJ,29092188.941999998
2017,NJ,25886476.574999996
2018,NJ,25579534.887999997
2019,NJ,25767196.68399999
2020,NJ,20953164.73
2011,NM,40885285.032021
2012,NM,39840531.195677996
2013,NM,40330306.429454
2014,NM,36465188.992023595
2015,NM,36445610.3500246
2016,NM,31865322.045969997
2017,NM,31548455.282994
2018,NM,28258943.451907866
2019,NM,29906361.52012804
2020,NM,27364646.3203705
2011,NV,18000801.42125
2012,NV,18253590.781035997
2013,NV,19175035.222
2014,NV,19715688.282
2015,NV,18154619.514000002
2016,NV,17473495.942
2017,NV,16221696.622
2018,NV,16999351.238
2019,NV,17042213.86
2020,NV,16824716.892
2011,NY,48741344.4672903
2012,NY,47345756.171326995
2013,NY,44412033.948888905
2014,NY,44685646.170801796
2015,NY,43680014.22910239
2016,NY,40477185.482902095
2017,NY,35031847.013307504
2018,NY,37850750.096506596
2019,NY,34679870.0554111
2020,NY,36086354.32950508
2011,OH,151075210.84981158
2012,OH,135123547.0672983
2013,OH,138707789.76499996
2014,OH,138578815.72399998
2015,OH,121362129.336
